MemberID,MemberName,MemberType,ContactPerson,ContactEmail,Address,State,Zipcode,Phone,TollFree,Fax,Login,pass,Associations,ServiceCountry,Logo,Description,InterstateLicense,USDot,MC,Active,DateAdded,MemberState,CanadianLicense
13,Broadway Transfer Company of Russellville,storage,Ray Bradbury,Broadway@movinguwithcare.com,1410 E. 2nd St.,AR,72801,4799683900,83900479962,9683900479,Broadway,broadway,,,NoLogo.gif,No description,,,,1,11/1/2007,,
14,Jet Moving & Storage Co. Inc.,packing,Pearl Buck,Jet@movinguwithcare.com,1404 E. 2nd Street,AR,72801,4799686309,86309479962,9686309479,Jet,jet,,,NoLogo.gif,No description,,,,1,12/13/2007,,
15,GARCIA MOVERS,standard,Octavia Butler,GARCIA@movinguwithcare.com,2249 W. 17th Avenue,AZ,85220,4804740207,40207480472,4740207480,GARCIA,garcia,,,NoLogo.gif,No description,1,1233,1212,1,11/29/2007,,
16,JUST-IN TIME MOVING AND DELIVERY L.L.C.,full,Truman Capote,justin@movinguwithcare.com,1126 W. Elliot Road #1070,AZ,85224,4802130395,30395480212,2130395480,justin,justin,,,NoLogo.gif,No description,1,1231,2322,1,12/15/2007,,
17,PRIDE PROFESSIONAL MOVERS INC.,transport,Raymond Carver,PRIDE@movinguwithcare.com,107 E. Pioneer Street,AZ,85040,6022665266,65266602262,2665266602,PRIDE,pride,,,NoLogo.gif,No description,,,,1,1/9/2008,,
18,PICK UP & MOVE,storage,Willa Cather,PICK@movinguwithcare.com,3236 E. Chandler Blvd. #2003,AZ,85048,4806268910,68910480622,6268910480,PICK,pick,,,NoLogo.gif,No description,,,,1,1/5/2008,,
19,PROFESSIONAL MOVERS INC.,packing,John Cheever,PROFESSIONAL@movinguwithcare.com,4022 W. Turney Avenue #A7,AZ,85019,6023520091,20091602352,3520091602,PROFESSIONAL,professional,,,NoLogo.gif,No description,,,,1,1/11/2008,,
20,Palmcaster Moving & Storage Inc.,standard,Charles W. Chestnutt,Palmcaster@movinguwithcare.com,850 West Avenue,CA,93534,6619428494,28494661942,9428494661,Palmcaster,palmcaster,,,NoLogo.gif,No description,,,,1,12/31/2007,,
21,Ace Relocation Systems Inc,full,Kate Chopin,Ace@movinguwithcare.com,189 West Victoria,CA,90805,8003218104,18104800322,3218104800,Ace,ace,,,NoLogo.gif,No description,,,,1,9/29/2007,,
22,A Better Way to Move,transport,Sandra Cisneros,better@movinguwithcare.com,146 Wet 134th Street,CA,90061,3103971222,71222310392,3971222310,better,better,,,NoLogo.gif,No description,,,,1,10/28/2007,,
23,Amexmovers Inc.,storage,Eugenia W. Collier,Amexmovers@movinguwithcare.com,1902 Overland Avenue,CA,90025,8668085444,85444866802,8085444866,Amexmovers,amexmovers,,,NoLogo.gif,No description,,,,1,10/17/2007,,
24,Bedford Freight Lines Inc.,packing,James Fenimore Cooper,Bedford@movinguwithcare.com,511 North La Cienega Blvd Ste 3200,CA,90048,3106573280,73280310652,6573280310,Bedford,bedford,,,NoLogo.gif,No description,,,,1,10/24/2007,,
25,California New York Express Moving,standard,Stephen Crane,California@movinguwithcare.com,1260 Palmetto Street,CA,90013,8886807200,07200888682,6807200888,California,california,,,NoLogo.gif,No description,,,,1,11/3/2007,,
26,Columbine Moving & Storage,standard,Rebecca Harding Davis,Columbine@movinguwithcare.com,411 Aspen Airport Business Ctr,CO,81611,9709252201,52201970922,9252201970,Columbine,columbine,,,NoLogo.gif,No description,,,,1,11/11/2007,,
27,Two Men With Big Hearts Moving & Storage Inc,full,Joan Didion,Two@movinguwithcare.com,5203 Lincoln St.,CO,80216,3032929200,29200303292,2929200303,Two,two,,,NoLogo.gif,No description,,,,1,2/6/2008,,
28,WHITE MOVING & STORAGE INC.,transport,John Dos Passos,WHITE@movinguwithcare.com,4760 Holly St.,CO,80216,3033884114,84114303382,3884114303,WHITE,white,,,NoLogo.gif,No description,,,,1,2/13/2008,,
29,Affordable Choice Moving,storage,Theodore Dreiser,Affordable@movinguwithcare.com,361 S Camino del Rio Ste 250,CO,81303,9702471239,71239970242,2471239970,Affordable,affordable,,,NoLogo.gif,No description,,,,1,10/6/2007,,
30,Durango Transfer Moving & Storage inc.,packing,Ralph Ellison,Durango@movinguwithcare.com,Box 2100 Durango,CO,81304,9702474476,74476970242,2474476970,Durango,durango,,,NoLogo.gif,No description,,,,1,11/19/2007,,
31,Alliance Moving Systems,standard,William Faulkner,Alliance@movinguwithcare.com,Po Box 5326,CO,81631,9703286683,86683970322,3286683970,Alliance,alliance,,,NoLogo.gif,No description,,,,1,10/13/2007,,
32,Astro Moving Inc.,standard,Rudolph Fisher,Astro@movinguwithcare.com,250 Bishop Avenue,CT,6610,8882787611,87611888272,2787611888,Astro,astro,,,NoLogo.gif,No description,,,,1,10/21/2007,,
33,P.J. Murphy Moving & Storage Co. Inc.,full,F. Scott Fitzgerald,pj@movinguwithcare.com,10 Whiting Street,CT,6604,2033332011,32011203332,3332011203,pj,pj,,,NoLogo.gif,No description,,,,1,1/6/2008,,
34,West End Moving & Storage Co. Inc.,transport,Ernest Gaines,West@movinguwithcare.com,241 Pine Street,CT,6605,2033674481,74481203362,3674481203,West,west,,,NoLogo.gif,No description,,,,1,2/12/2008,,
35,C & D Moving & Storage,storage,Ernesto Galarza,cdmoving@movinguwithcare.com,46 Del Mar Industrial Park,CT,6804,2037443010,43010203742,7443010203,cdmoving,cdmoving,,,NoLogo.gif,No description,,,,1,11/6/2007,,
36,Storage USA,packing,John Gardner,Storage@movinguwithcare.com,578 Federal Road,CT,6804,2037757115,57115203772,7757115203,Storage,storage,,,NoLogo.gif,No description,,,,1,1/28/2008,,
37,Murphy Moving & Storage Inc.,standard,Henry Louis Gates,Murphy@movinguwithcare.com,20 Knollwood Drive,CT,6413,2038653181,53181203862,8653181203,Murphy,murphy,,,NoLogo.gif,No description,,,,1,12/26/2007,,
38,Top Secret Movers LLC,standard,Ellen Glasgow,Top@movinguwithcare.com,2805 Douglass PLace S E,DC,20020,2024199041,99041202412,4199041202,Top,top,,,NoLogo.gif,No description,,,,1,2/3/2008,,
39,Signature Movers Inc,full,Virginia Hamilton,Signature@movinguwithcare.com,1425 Upshur Street NW,DC,20011,2028828442,28442202882,8828442202,Signature,signature,,,NoLogo.gif,No description,,,,1,1/24/2008,,
40,Federal Moving & Storage,transport,Bret Harte,Federal@movinguwithcare.com,1701 Florida Ave NW,DC,20009,2930323423,23423293032,0323423293,Federal,federal,,,NoLogo.gif,No description,,,,1,11/21/2007,,
41,Delaware Moving & Storage Inc,standard,Nathaniel Hawthorne,Delaware@movinguwithcare.com,214 Bear-Christiana Road,DE,19701,3023220311,20311302322,3220311302,Delaware,delaware,,,NoLogo.gif,No description,,,,1,11/15/2007,,
42,Hopkins & Sons Inc.,full,Robert Heinlein,Hopkins@movinguwithcare.com,1 Bellecor Drive,DE,19720,3023221017,21017302322,3221017302,Hopkins,hopkins,,,NoLogo.gif,No description,,,,1,12/9/2007,,
43,Washburn Moving LLC,transport,Joseph Heller,Washburn@movinguwithcare.com,1530 Capitol Trail,DE,19711,3024549937,49937302452,4549937302,Washburn,washburn,,,NoLogo.gif,No description,,,,1,2/11/2008,,
44,Dunkley Enterprises Inc.,storage,Ernest Hemingway,Dunkley@movinguwithcare.com,139 Wallace Road,DE,19730,3022750100,50100302272,2750100302,Dunkley,dunkley,,,NoLogo.gif,No description,,,,1,11/18/2007,,
45,Apartment Movers & Storage,standard,Chester Himes,Apartment@movinguwithcare.com,961 Sunshine Ln,FL,32714,3224323211,23211322432,4323211322,Apartment,apartment,,,NoLogo.gif,No description,,,,1,10/19/2007,,
46,Iceman Movers,full,Merle Hodge,Iceman@movinguwithcare.com,13026 New York Ave,FL,34705,3222234121,34121322222,2234121322,Iceman,iceman,,,NoLogo.gif,No description,,,,1,12/10/2007,,
47,All My Sons Moving & Storage of Orlando Inc.,transport,Langston Hughes,All@movinguwithcare.com,3122-D Shader Rd,FL,32804,3456453197,53197345642,6453197345,All,all,,,NoLogo.gif,No description,,,,1,10/10/2007,,
48,Allways Moving And Storage,storage,Zora Neale Hurston,Allways@movinguwithcare.com,3600 Parkway Center Ct,FL,32808,3871906445,06445387192,1906445387,Allways,allways,,,NoLogo.gif,No description,,,,1,10/14/2007,,
49,Beltmann Group Inc.,packing,John Irving,Beltmann@movinguwithcare.com,6917 Presidents Dr,FL,32809,3094857436,57436309482,4857436309,Beltmann,beltmann,,,NoLogo.gif,No description,,,,1,10/27/2007,,
50,PAN-AMERICAN EXP INC. OF FL,standard,Washington Irving,panamerican@movinguwithcare.com,7454 NW 55th St,FL,33166,3054773131,73131305472,4773131305,panamerican,panamerican,,,NoLogo.gif,No description,,,,1,1/1/2008,,
51,Ivy League Moving Services,standard,Shirley Jackson,Ivy@movinguwithcare.com,5885 Shiloh Road Suite 108,GA,30005,7705211615,11615770522,5211615770,Ivy,ivy,,,NoLogo.gif,No description,,,,1,12/12/2007,,
52,Gyorgy Barcza Inc.,standard,Henry James,Gyorgy@movinguwithcare.com,950 Waiohinu Drive,HI,96816,8087354697,54697808732,7354697808,Gyorgy,gyorgy,,,NoLogo.gif,No description,,,,1,12/4/2007,,
53,Island Movers Inc.,full,William Melvin Kelley,Island@movinguwithcare.com,Pier 42,HI,96817,8088324000,24000808832,8324000808,Island,island,,,NoLogo.gif,No description,,,,1,12/11/2007,,
54,Pacific Transfer LLC,transport,Jamaica Kincaid,Pacific@movinguwithcare.com,664 Kakoi Street,HI,96819,8088363871,63871808832,8363871808,Pacific,pacific,,,NoLogo.gif,No description,,,,1,12/30/2007,,
55,Claeys Bros. Moving & Storage Inc.,standard,Barbara Kingsolver,Claeys@movinguwithcare.com,5600 Harbor Drive,IA,51111,8002521335,21335800252,2521335800,Claeys,claeys,,,NoLogo.gif,No description,,,,1,11/8/2007,,
56,Two Men And A Truck,full,Maxine Hong Kingston,two2@movinguwithcare.com,3934 NW Urbandale Drive,IA,50322,5152767170,67170515272,2767170515,two2,two2,,,NoLogo.gif,No description,,,,1,2/7/2008,,
57,Air Van Moving Group,standard,Ring Lardner,Air@movinguwithcare.com,3340 S. Denver Way,ID,83705,2083453030,53030208342,3453030208,Air,air,,,NoLogo.gif,No description,,,,1,10/8/2007,,
58,Mesa Systems Inc,full,Camara Laye,Mesa@movinguwithcare.com,7600 S Eisenman Road,ID,83716,2083367000,67000208332,3367000208,Mesa,mesa,,,NoLogo.gif,No description,,,,1,12/22/2007,,
59,Metro Movers,transport,Ursula LeGuin,Metro@movinguwithcare.com,11095 W. Executive Dr.,ID,83713,2083237972,37972208322,3237972208,Metro,metro,,,NoLogo.gif,No description,,,,1,12/23/2007,,
60,Peasley Transfer & Storage Company,storage,Sinclair Lewis,Peasley@movinguwithcare.com,111 N. Curtis Rd.,ID,83706,2083750961,50961208372,3750961208,Peasley,peasley,,,NoLogo.gif,No description,,,,1,1/3/2008,,
61,Magic Valley Storagem,packing,Jack London,Magic@movinguwithcare.com,1592 Elm St. N.,ID,83301,2087360053,60053208732,7360053208,Magic,magic,,,NoLogo.gif,No description,,,,1,12/19/2007,,
62,Glen Ellyn Storage Corporation,standard,Bernard Malamud,Glen@movinguwithcare.com,1530 Wrightwood Court,IL,60101,6305430500,30500630542,5430500630,Glen,glen,,,NoLogo.gif,No description,,,,1,12/1/2007,,
63,Reebie Storage & Moving,full,Norman Mailer,Reebie@movinguwithcare.com,10423 Franklin Ave,IL,60131,8004414919,14919800442,4414919800,Reebie,reebie,,,NoLogo.gif,No description,,,,1,1/16/2008,,
64,Bekins Van Lines LLC,transport,Paule Marshall,Bekins@movinguwithcare.com,330 S Mannheim Rd,IL,60162,7085472000,72000708542,5472000708,Bekins,bekins,,,NoLogo.gif,No description,,,,1,10/25/2007,,
65,New Age Moving & Storage LLC,storage,James Matthews,New@movinguwithcare.com,601 West Morgan,IL,62650,2172434391,34391217242,2434391217,New,new,,,NoLogo.gif,No description,,,,1,12/27/2007,,
66,Marion Relocation Services,standard,Carson McCullers,Marion@movinguwithcare.com,325 E Christy St,IN,46952,7656640830,40830765662,6640830765,Marion,marion,,,NoLogo.gif,No description,,,,1,12/21/2007,,
67,Gary Movers,full,Reginald McKnight,Gary@movinguwithcare.com,5507 Hamburg Pike,IN,47130,8122831240,31240812282,2831240812,Gary,gary,,,NoLogo.gif,No description,,,,1,11/30/2007,,
68,SECURITY STORAGE,transport,Herman Melville,SECURITY@movinguwithcare.com,1223 North Rock Road,IN,47321,6253485967,85967625342,3485967625,SECURITY,security,,,NoLogo.gif,No description,,,,1,1/22/2008,,
69,THOMAS TRANSFER AND STORAGE,standard,James Michener,THOMAS@movinguwithcare.com,7701 East Osie,KS,67207,3166861111,61111316682,6861111316,THOMAS,thomas,,,NoLogo.gif,No description,,,,1,2/2/2008,,
70,LexMove,standard,N. Scott Momaday,lexmove@movinguwithcare.com,4820 Branch Drive,KY,40514,8364334567,34567836432,4334567836,lexmove,lexmove,,,NoLogo.gif,No description,,,,1,12/16/2007,,
71,Price-Coomer Relocation Services Inc.,full,Toni Morrison,pricecoomer@movinguwithcare.com,2245 Frankfort Court,KY,40510,2235364570,64570223532,5364570223,pricecoomer,pricecoomer,,,NoLogo.gif,No description,,,,1,1/8/2008,,
72,Safeway Moving & Storage Inc.,transport,Gloria Naylor,Safeway@movinguwithcare.com,772 Winchester Road Suite 1105,KY,40505,7364829384,29384736482,4829384736,Safeway,safeway,,,NoLogo.gif,No description,,,,1,1/20/2008,,
73,Pro Ace Moving & Storage Inc,standard,Joyce Carol Oates,Pro@movinguwithcare.com,122 Gold Kettle Drive,MD,20878,8779637283,37283877962,9637283877,Pro,pro,,,NoLogo.gif,No description,,,,1,1/10/2008,,
74,Reggie Lee Moving & Delivery,full,Tim O'Brien,Reggie@movinguwithcare.com,400 Glenwood Ave,MD,21061,4104912553,12553410492,4912553410,Reggie,reggie,,,NoLogo.gif,No description,,,,1,1/17/2008,,
75,Delmarva Moving & Transport LLC,transport,Flannery O'Connor,delaware2@movinguwithcare.com,304 Wicomico Rd.,MD,21666,4106431117,31117410642,6431117410,delaware2,delaware2,,,NoLogo.gif,No description,,,,1,11/16/2007,,
76,Prominent Movers LLC,storage,Diane Oliver,Prominent@movinguwithcare.com,116 Lee Avenue #203,MD,20912,3648583212,83212364852,8583212364,Prominent,prominent,,,NoLogo.gif,No description,,,,1,1/13/2008,,
77,A to Z Movers,packing,Tillie Olsen,azmovers@movinguwithcare.com,101 Mellor Ave.,MD,21228,4107882221,82221410782,7882221410,azmovers,azmovers,,,NoLogo.gif,No description,,,,1,10/22/2007,,
78,Bridgton Moving and Storage,standard,Cynthia Ozick,Bridgton@movinguwithcare.com,409 Portland Road,ME,4009,2076473206,73206207642,6473206207,Bridgton,bridgton,,,NoLogo.gif,No description,,,,1,10/31/2007,,
79,G.A. Tufts Moving Services,full,Ntozake Shange,ga@movinguwithcare.com,411 Marginal Way,ME,4104,2077752503,52503207772,7752503207,ga,ga,,,NoLogo.gif,No description,,,,1,11/28/2007,,
80,Wilson Moving Company,transport,Dorothy Parker,Wilson@movinguwithcare.com,55 Fessenden Street,ME,4103,2077752581,52581207772,7752581207,Wilson,wilson,,,NoLogo.gif,No description,,,,1,2/16/2008,,
81,S&S Handyman Services,storage,Walker Percy,ss@movinguwithcare.com,188 Flag Pond Road,ME,4072,2072841845,41845207282,2841845207,ss,ss,,,NoLogo.gif,No description,,,,1,1/27/2008,,
82,Norumbega Moving & Storage,packing,Edgar Allan Poe,Norumbega@movinguwithcare.com,30 Marshall Brook Road,ME,4679,2072447295,47295207242,2447295207,Norumbega,norumbega,,,NoLogo.gif,No description,,,,1,12/29/2007,,
83,CAMPBELL s MOVING & STORAGE COMPANY INC.,standard,Katherine Anne Porter,CAMPBELL@movinguwithcare.com,1533 Beverly Avenue,MI,48198,2938475612,75612293842,8475612293,CAMPBELL,campbell,,,NoLogo.gif,No description,,,,1,11/4/2007,,
84,Manny s Piano Moving Inc,standard,Ted Poston,Manny@movinguwithcare.com,17220 Vickers St NE,MN,55304,6125294268,94268612522,5294268612,Manny,manny,,,NoLogo.gif,No description,,,,1,12/20/2007,,
85,Golden Valley Transfer Inc,full,Chaim Potok,Golden@movinguwithcare.com,14369 93rd Ave N,MN,55369,7634206760,06760763422,4206760763,Golden,golden,,,NoLogo.gif,No description,,,,1,12/2/2007,,
86,Finkbiner Transfer & Storage,standard,Reynolds Price,Finkbiner@movinguwithcare.com,513 W Olive St,MO,65806,4178665033,65033417862,8665033417,Finkbiner,finkbiner,,,NoLogo.gif,No description,,,,1,11/22/2007,,
87,Fry Wagner Moving & Storage,full,Ishmael Reed,Fry@movinguwithcare.com,4747 E Mustard Way,MO,65803,4178314000,14000417832,8314000417,Fry,fry,,,NoLogo.gif,No description,,,,1,11/26/2007,,
88,Two Men and A Truck Inc,transport,Adrienne Rich,two3@movinguwithcare.com,2025 E Chestnut Expy Ste B,MO,65802,4178660376,60376417862,8660376417,two3,two3,,,NoLogo.gif,No description,,,,1,2/8/2008,,
89,A Plus Delivery & Moving Co,standard,Richard Rodriguez,plus@movinguwithcare.com,4002 Adams Avenue Suite A,MS,39507,2288968383,68383228892,8968383228,plus,plus,,,NoLogo.gif,No description,,,,1,1/7/2008,,
90,F & S Moving & Storage Inc.,full,Philip Roth,fsmoving@movinguwithcare.com,655 Bayview Avenue,MS,39530,2283747745,47745228372,3747745228,fsmoving,fsmoving,,,NoLogo.gif,No description,,,,1,11/27/2007,,
91,RJT Relocation,transport,J. D. Salinger,RJT@movinguwithcare.com,6 Trident Drive Arden,MS,39231,8282090180,90180828202,2090180828,RJT,rjt,,,NoLogo.gif,No description,,,,1,1/18/2008,,
92,Panther Van Lines,standard,William Saroyan,Panther@movinguwithcare.com,103 Labans Lane,NC,28092,7047329262,29262704732,7329262704,Panther,panther,,,NoLogo.gif,No description,,,,1,1/2/2008,,
93,Act of Class Relocation Inc.,full,Leslie M. Silko,Act@movinguwithcare.com,3371 Smith Farm Rd. #B,NC,28104,7048215511,15511704822,8215511704,Act,act,,,NoLogo.gif,No description,,,,1,10/1/2007,,
94,Hometown Moving Inc.,standard,Upton Sinclair,Hometown@movinguwithcare.com,3910 Memorial Hwy.,ND,58554,7012506350,06350701252,2506350701,Hometown,hometown,,,NoLogo.gif,No description,,,,1,12/8/2007,,
95,The Apartment Movers Inc.,full,Isaac Bashevis Singer,The@movinguwithcare.com,402 25th St N,ND,58102,7013658600,58600701362,3658600701,The,the,,,NoLogo.gif,No description,,,,1,2/1/2008,,
96,Tentmakers Moving LLC,standard,John Steinbeck,Tentmakers@movinguwithcare.com,334 South River Rd,NH,3110,6034242126,42126603422,4242126603,Tentmakers,tentmakers,,,NoLogo.gif,No description,,,,1,1/31/2008,,
97,William C. Huff Moving And Storage Inc.,full,Jesse Stuart,William@movinguwithcare.com,4 Dyment Way,NH,3825,6033352967,52967603332,3352967603,William,william,,,NoLogo.gif,No description,,,,1,2/15/2008,,
98,College Bound Movers Inc.,transport,William Styron,College@movinguwithcare.com,6 Caldwell Drive,NH,3031,6038826683,26683603882,8826683603,College,college,,,NoLogo.gif,No description,,,,1,11/10/2007,,
99,Storage Plus LLC,standard,Amy Tan,storage2@movinguwithcare.com,1553 Foothill Dr.,NV,89005,7022933115,33115702292,2933115702,storage2,storage2,,,NoLogo.gif,No description,,,,1,1/29/2008,,
100,Green Horizon Mini Storage,full,James Thurber,Green@movinguwithcare.com,2241 W. Horizon Ridge Pkwy.,NV,89052,4345424232,24232434542,5424232434,Green,green,,,NoLogo.gif,No description,,,,1,12/3/2007,,
101,A-1 Freeman North American,standard,Amos Tutuola,freeman@movinguwithcare.com,2900-C North Hemlock Circle,OK,74012,9182512220,12220918252,2512220918,freeman,freeman,,,NoLogo.gif,No description,,,,1,11/24/2007,,
102,Apple Movers Inc.,full,Mark Twain,Apple@movinguwithcare.com,812 W. Main,OK,73085,4053506333,06333405352,3506333405,Apple,apple,,,NoLogo.gif,No description,,,,1,10/20/2007,,
103,Tri County Moving Ltd,standard,Anne Tyler,Tri@movinguwithcare.com,14305 SE Millikan Way,OR,97005,5036400855,00855503642,6400855503,Tri,tri,,,NoLogo.gif,No description,,,,1,2/4/2008,,
104,Lile Moving & Storage - Vancouver,standard,John Updike,Lile@movinguwithcare.com,5720 - B NE 121st Ave,WA,98682,3608921454,21454360892,8921454360,Lile,lile,,,NoLogo.gif,No description,,,,1,12/17/2007,,
105,Nickys Moving & Storage,standard,Kurt Vonnegut,Nickys@movinguwithcare.com,7660 Queen Street,PA,19038,2153338334,38334215332,3338334215,Nickys,nickys,,,NoLogo.gif,No description,,,,1,12/28/2007,,
106,Bekins A-1 Movers Inc.,full,Alice Walker,bekins2@movinguwithcare.com,125 Stewart Road,PA,18706,5708216111,16111570822,8216111570,bekins2,bekins2,,,NoLogo.gif,No description,,,,1,10/26/2007,,
107,Chris Corrigan Moving & Storage Inc.,standard,Robert Penn Warren,Chris@movinguwithcare.com,169 Cowden Street,RI,2863,4017222422,22422401722,7222422401,Chris,chris,,,NoLogo.gif,No description,,,,1,11/7/2007,,
108,COUTU BROS. MOVERS,full,Ida B. Wells,COUTU@movinguwithcare.com,133 Central Street,RI,2861,3288631277,31277328862,8631277328,COUTU,coutu,,,NoLogo.gif,No description,,,,1,11/12/2007,,
109,PEOPLES MOVING & STORAGE,transport,Eudora Welty,PEOPLES@movinguwithcare.com,133 Central Street,RI,2823,4288623456,23456428862,8623456428,PEOPLES,peoples,,,NoLogo.gif,No description,,,,1,1/4/2008,,
110,Smith Dray Line & Storage Company Inc,standard,Dorothy West,Smith@movinguwithcare.com,320 Frontage Road,SC,29611,8642693696,93696864262,2693696864,Smith,smith,,,NoLogo.gif,No description,,,,1,1/25/2008,,
111,Two Men and A Truck of Greenville,full,Nathaneal West,two4@movinguwithcare.com,208 Transit Drive,SC,29607,8643291228,91228864322,3291228864,two4,two4,,,NoLogo.gif,No description,,,,1,2/9/2008,,
112,Carey Moving & Storage of Charlotte Inc.,transport,John Edgar Wideman,Carey@movinguwithcare.com,500 Corporate Blvd.,SC,29730,8033243178,43178803322,3243178803,Carey,carey,,,NoLogo.gif,No description,,,,1,11/5/2007,,
113,Smith Dray Line Moving & Storage,storage,Thomas Wolfe,smith2@movinguwithcare.com,1421 Dave Lyle Blvd.,SC,29730,8033271231,71231803322,3271231803,smith2,smith2,,,NoLogo.gif,No description,,,,1,1/26/2008,,
114,Affordable Moving Services,packing,Tobias Wolfe,affordable2@movinguwithcare.com,2272 Country Club Road,SC,29304,8645910101,10101864592,5910101864,affordable2,affordable2,,,NoLogo.gif,No description,,,,1,10/7/2007,,
115,Mini Movers,full,Herman Wouk,Mini@movinguwithcare.com,7520 W Legacy St,SD,57106,6053619363,19363605362,3619363605,Mini,mini,,,NoLogo.gif,No description,,,,1,12/24/2007,,
116,Brouwer Relocation Inc.,transport,Richard Wright,Brouwer@movinguwithcare.com,3221 N 1st Ave,SD,57104,6053330620,30620605332,3330620605,Brouwer,brouwer,,,NoLogo.gif,No description,,,,1,11/2/2007,,
117,Action Moving & Storage,storage,Edward Albee,Action@movinguwithcare.com,500 S Ruth Ave,SD,57106,6053366040,66040605332,3366040605,Action,action,,,NoLogo.gif,No description,,,,1,10/2/2007,,
118,Senior Moves Inc.,standard,Maxwell Anderson,Senior@movinguwithcare.com,7592 W Farmington #127,TN,38138,9017536683,36683901752,7536683901,Senior,senior,,,NoLogo.gif,No description,,,,1,1/23/2008,,
119,American Movers Inc.,full,Alice Childress,American@movinguwithcare.com,617 Blair Avenue,TN,37066,6154522197,22197615452,4522197615,American,american,,,NoLogo.gif,No description,,,,1,10/16/2007,,
120,Franklin Movers,transport,Susan Glaspell,Franklin@movinguwithcare.com,2927 Bethlehem Loop,TN,37064,6157948866,48866615792,7948866615,Franklin,franklin,,,NoLogo.gif,No description,,,,1,11/23/2007,,
121,All Seasons Self Storage,storage,Lorraine Hansberry,all2@movinguwithcare.com,4305 Benton Drive,TN,37416,4234900525,00525423492,4900525423,all2,all2,,,NoLogo.gif,No description,,,,1,10/11/2007,,
122,A Crow & Son Moving,packing,Lillian Hellman,crow@movinguwithcare.com,5455 Perryman Rd,TN,37034,6154974609,74609615492,4974609615,crow,crow,,,NoLogo.gif,No description,,,,1,11/14/2007,,
123,Always Home Inc.,standard,William Inge,always2@movinguwithcare.com,1600 Westgate Circle,TN,37034,3702743343,43343370272,2743343370,always2,always2,,,NoLogo.gif,No description,,,,1,10/15/2007,,
124,S. P. Rutherford Transfer & Storage Inc.,standard,Adrienne Kennedy,rutherford@movinguwithcare.com,317 Beecham Street,TN,37621,4237644186,44186423762,7644186423,rutherford,rutherford,,,NoLogo.gif,No description,,,,1,1/19/2008,,
125,Professional Moving Packers,full,Arthur Miller,Professional@movinguwithcare.com,6688 Booth Forrest Dr,TN,38135,9013863607,63607901382,3863607901,Professional,professional,,,NoLogo.gif,No description,,,,1,1/12/2008,,
